RA,DEC,XSIZE,YSIZE,COLORS_FITS,RGB_STIFF_COLORS,RGB_LUPTON_COLORS,MAKE_FITS,MAKE_RGB_LUPTON,MAKE_RGB_STIFF,DISCARD_FITS_FILES,POSITION_TYPE,RA_ADJUSTED,FILES,TILEDIR,TILENAME,SEXAGECIMAL,RGB_MINIMUM,RGB_STRETCH,RGB_ASINH,ALPHAWIN_J2000,DELTAWIN_J2000
316.102436,-46.738196,0.5,0.5,i,gri,gri,True,False,False,False,coord,43.89756399999999,[],,DES2105-4623,,1.0,50.0,10.0,316.102436,-46.738196
320.071929,-57.211821,0.5,0.5,i,gri,gri,True,False,False,False,coord,39.92807099999999,[],,DES2118-5705,,1.0,50.0,10.0,320.071929,-57.211821
324.465129,-56.393361,0.5,0.5,i,gri,gri,True,False,False,False,coord,35.53487100000001,[],,DES2135-5622,,1.0,50.0,10.0,324.465129,-56.393361
327.098173,-65.112821,0.5,0.5,i,gri,gri,True,False,False,False,coord,32.901827000000026,[],,DES2149-6456,,1.0,50.0,10.0,327.098173,-65.112821
326.738338,-64.671998,0.5,0.5,i,gri,gri,True,False,False,False,coord,33.261662,[],,DES2149-6456,,1.0,50.0,10.0,326.738338,-64.671998
